city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,3713029,801 E SOUTH ST,1,216,0,216,216,0,216,0,,,,,,2013,0,by right change,,
Anaheim,3716110,424 S ATCHISON ST,1,21,0,21,21,0,21,0,,,,,,2013,0,by right change,,
Anaheim,3716109,800 E Broadway,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3716111,424 S ATCHISON ST,1,21,0,21,21,0,21,0,,,,,,2013,0,by right change,,
Anaheim,3716112,704 E BROADWAY,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,3716114,365 S Atchison St,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,3716116,424 S ATCHISON ST,1,21,0,21,21,0,21,0,,,,,,2013,0,by right change,,
Anaheim,3716117,424 S ATCHISON ST,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,3723002,707 E VERMONT AVE,1,151,0,151,151,0,151,0,,,,,,2013,0,by right change,,
Anaheim,3727108,555 S ROSE ST,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,3727111,553 S ROSE ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3727117,501 S ROSE ST,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,3727123,515 S ROSE ST,1,16,0,16,16,0,16,0,,,,,,2013,0,by right change,,
Anaheim,3727124,500 S MOTIF ST,1,61,0,61,61,0,61,0,,,,,,2013,0,by right change,,
Anaheim,3727124,500 S MOTIF ST,1,252,0,252,252,0,252,0,,,,,,2013,0,by right change,,
Anaheim,3727125,543 S ROSE ST,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,3727127,533 S ROSE ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,3727222,500 S ROSE ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3727223,510 S ROSE ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3727225,540 S ROSE ST,1,18,0,18,18,0,18,0,,,,,,2013,0,by right change,,
Anaheim,3727225,540 S ROSE ST,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
Anaheim,3727226,554 S ROSE ST,1,21,0,21,21,0,21,0,,,,,,2013,0,by right change,,
Anaheim,3727227,534 S ROSE ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3727230,518 S ROSE ST,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,7016106,109 N MAGNOLIA AVE,1,9,0,9,9,0,9,0,,,,,,2013,0,by right change,,
Anaheim,7016107,2601 W LINCOLN AVE,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,7016111,2607 W LINCOLN AVE,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,7016112,2621 W LINCOLN AVE,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,7016113,2625 W LINCOLN AVE,1,16,0,16,16,0,16,0,,,,,,2013,0,by right change,,
Anaheim,7256125,304 N CRESCENT WAY,1,23,0,23,23,0,23,0,,,,,,2013,0,by right change,,
Anaheim,7259101,305 N CRESCENT WAY,1,37,0,37,37,0,37,0,,,,,,2013,0,by right change,,
Anaheim,7259126,241 N CRESCENT WAY,1,23,0,23,23,0,23,0,,,,,,2013,0,by right change,,
Anaheim,7259134,223 N CRESCENT WAY,1,43,0,43,43,0,43,0,,,,,,2013,0,by right change,,
Anaheim,7261101,501 N CRESCENT WAY,1,253,0,253,253,0,253,0,,,,,,2013,0,by right change,,
Anaheim,8217049,498 W Midway Dr,1,22,0,22,22,0,22,0,,,,,,2013,0,by right change,,
Anaheim,8218501,110 W MIDWAY DR,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218526,1429 S Clementine St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218527,1429 S Clementine St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218528,200 W MIDWAY DR,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218529,253 W Midway Dr,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218530,235 W Midway Dr,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218531,1401 S Lemon St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218535,1498 S Lemon St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218539,237 W Midway Dr,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218540,237 W Midway Dr,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218541,237 W Midway Dr,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,8218547,1445 S ANAHEIM BLVD,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,8218549,250 W MIDWAY DR,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,8218551,237 W Midway Dr,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,8218552,1455 S ANAHEIM BLVD,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,8218553,1441 S ANAHEIM BLVD,1,43,0,43,43,0,43,0,,,,,,2013,0,by right change,,
Anaheim,8218558,200 W MIDWAY DR,1,151,0,151,151,0,151,0,,,,,,2013,0,by right change,,
Anaheim,8373116,2450 E LINCOLN AVE,1,28,0,28,28,0,28,0,,,,,,2013,0,by right change,,
Anaheim,8373117,2418 E LINCOLN AVE,1,111,0,111,111,0,111,0,,,,,,2013,0,by right change,,
Anaheim,12602217,2730 E LINCOLN AVE,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,12602218,2728 W LINCOLN AVE,1,39,0,39,39,0,39,0,,,,,,2013,0,by right change,,
Anaheim,12603226,2630 W LINCOLN AVE,1,64,0,64,64,0,64,0,,,,,,2013,0,by right change,,
Anaheim,12631010,2728 W BALL RD,1,64,0,64,64,0,64,0,,,,,,2013,0,by right change,,
Anaheim,12660204,212 S BEACH BLVD,1,32,0,32,32,0,32,0,,,,,,2013,0,by right change,,
Anaheim,12723134,631 S BROOKHURST ST,1,25,0,25,25,0,25,0,,,,,,2013,0,by right change,,
Anaheim,12723135,632 S BROOKHURST ST,1,28,0,28,28,0,28,0,,,,,,2013,0,by right change,,
Anaheim,12723156,605 S BROOKHURST ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,12723159,619 S BROOKHURST ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,12723160,611 S BROOKHURST ST,1,19,0,19,19,0,19,0,,,,,,2013,0,by right change,,
Anaheim,12723161,619 S Brookhurst St,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,12723162,623 S BROOKHURST ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,12724132,711 S BROOKHURST ST,1,30,0,30,30,0,30,0,,,,,,2013,0,by right change,,
Anaheim,12724167,711 S BROOKHURST ST,1,23,0,23,23,0,23,0,,,,,,2013,0,by right change,,
Anaheim,12724170,711 S BROOKHURST ST,1,9,0,9,9,0,9,0,,,,,,2013,0,by right change,,
Anaheim,12807103,1778 W LINCOLN AVE,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,12807105,1800 W LINCOLN AVE,1,16,0,16,16,0,16,0,,,,,,2013,0,by right change,,
Anaheim,12807138,1760 W LINCOLN AVE,1,18,0,18,18,0,18,0,,,,,,2013,0,by right change,,
Anaheim,12807142,1744 W LINCOLN AVE,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,12834116,2100 W BALL RD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,12834152,2147 W BALL RD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,12834161,2114 W BALL RD,1,118,0,118,118,0,118,0,,,,,,2013,0,by right change,,
Anaheim,13532130,3360 W LINCOLN AVE,1,118,0,118,118,0,118,0,,,,,,2013,0,by right change,,
Anaheim,13533118,130 S KNOTT AVE,1,100,0,100,100,0,100,0,,,,,,2013,0,by right change,,
